"sleep","age","educ","totwrk","male","yngkid"
3945,33,12,1125,0,0
2633,32,10,2663,1,0
3880,40,12,2830,1,1
3213,48,8,3273,0,0
3530,33,10,2250,0,0
2985,31,15,0,0,0
2948,35,12,2480,0,0
3068,31,12,2373,0,0
3638,27,11,1375,0,0
3326,46,17,2468,1,0
3405,55,14,375,0,0
3188,45,12,1175,0,0
3128,46,11,1738,0,0
3470,24,16,1660,0,0
3743,54,17,3118,1,0
3308,45,12,2326,1,0
2770,53,11,2300,0,0
3548,50,12,1538,1,0
2818,32,12,2505,1,0
755,23,12,2663,0,1
3368,33,11,1093,0,0
3140,43,9,2666,1,0
2955,26,14,2225,0,0
3435,53,12,0,0,0
3675,34,10,2113,1,0
2833,56,11,3242,1,0
3038,38,9,2681,1,0
3310,25,12,0,0,0
3368,32,17,2353,1,0
2661,40,14,2485,1,0
3570,60,12,2560,0,0
2708,32,12,2458,0,0
3221,26,12,1150,0,0
3365,27,15,2203,0,1
3250,36,12,3598,0,0
4030,24,12,2193,0,1
3428,28,17,638,0,0
3338,42,12,2588,1,0
3378,23,12,3185,1,0
2993,61,17,2725,1,0
2836,58,8,2263,1,0
3181,54,9,1208,0,0
3073,57,17,2351,1,0
2928,47,13,3608,1,0
2930,34,17,1950,0,0
3675,30,12,2425,0,0
3368,44,8,3071,1,0
3195,23,14,2195,1,0
2806,31,12,2476,1,1
3953,57,14,2351,0,0
3175,42,13,3481,1,0
3468,26,16,2871,1,0
2798,33,17,2366,1,0
3890,30,16,1050,0,1
2891,30,12,2163,0,1
3015,29,12,2640,1,0
3525,51,5,1950,0,0
3823,56,13,2300,1,0
3435,42,11,2946,1,0
3098,27,12,3480,1,0
3480,27,12,1213,0,0
3570,26,16,2398,1,0
2115,27,12,2050,0,0
3363,56,12,2426,1,0
2640,27,16,3180,1,1
3201,46,17,3003,1,0
3346,54,12,2288,0,0
3013,39,12,2313,1,0
3628,28,16,1013,0,0
3333,46,8,2560,1,0
3611,39,17,2575,1,0
3605,39,12,3595,1,0
2890,26,12,2380,0,0
3030,29,12,2270,0,0
2710,52,11,2368,0,0
3376,56,13,375,0,0
3470,53,12,2506,1,0
2800,28,12,0,0,1
4068,28,16,2568,0,0
2678,25,15,800,0,1
2536,59,9,2326,0,0
3280,36,16,1905,0,0
2841,30,12,2413,0,0
3498,59,12,1015,1,0
3095,51,12,3105,0,0
3135,40,12,2325,1,0
3670,38,14,2175,1,0
3060,36,8,750,0,0
3388,45,9,2325,0,0
2668,25,12,2400,1,1
3261,35,12,1125,0,0
3885,33,14,913,0,0
3415,62,16,2935,1,0
3720,36,12,2100,0,0
3203,51,12,2975,1,0
2820,29,12,4580,1,0
3113,34,10,2563,0,0
3180,31,12,0,0,0
3135,29,12,1538,1,0
3113,32,12,3438,1,0
2928,28,17,2606,1,0
2948,27,14,1813,0,0
3148,60,17,1988,1,0
3040,25,12,1510,0,1
3045,37,12,2049,1,0
3218,59,12,1013,0,0
3060,50,12,2603,1,0
3630,58,8,625,0,0
3158,39,16,2778,1,0
3655,47,16,460,0,0
3725,44,9,2616,1,0
3800,52,5,1925,0,0
3250,27,14,2700,1,0
2603,36,12,2638,1,1
4091,24,13,75,0,0
3975,28,12,0,0,0
2840,38,11,2353,0,0
2918,23,16,2038,1,0
2865,41,12,3438,1,0
3390,52,12,583,0,0
3621,34,12,2588,0,0
3480,28,12,1113,0,0
3570,52,7,2350,1,0
3391,50,12,2895,1,0
4235,30,12,1183,0,1
3278,40,12,2420,0,0
2985,62,8,0,1,0
3410,28,12,1497,0,1
3090,44,13,538,0,0
2848,24,16,638,0,0
3298,31,12,2276,1,0
3818,57,4,360,0,0
3388,36,17,1913,1,0
3505,29,13,1993,0,0
3200,58,9,2363,1,0
3430,39,11,3140,1,0
3638,37,17,2125,1,1
3008,48,5,2693,1,0
3855,33,17,360,0,0
3683,54,14,2150,1,0
2413,25,12,400,0,0
3338,51,16,1323,0,0
2940,35,12,2475,1,0
3780,32,12,1050,0,0
2923,28,17,2243,0,0
3375,40,12,2905,1,0
3436,44,12,2250,0,0
3451,44,12,1208,1,0
2643,34,11,1408,1,0
3123,49,12,2483,1,0
2985,37,14,4335,1,0
3433,35,12,3025,1,0
3630,27,12,1213,0,1
4545,40,11,835,1,0
4153,47,12,1100,1,0
2881,31,8,2866,1,1
4350,60,12,480,1,0
3046,54,16,2571,1,0
2888,25,12,2931,1,0
3598,56,14,2376,1,0
3668,41,16,2218,0,0
3320,25,14,2193,0,0
3245,27,17,305,0,1
2715,49,17,2850,0,0
2448,47,17,2488,1,0
3120,23,13,2477,1,1
2875,24,14,2301,1,0
2780,33,16,1950,1,0
2640,27,16,2538,0,0
3348,30,17,1760,1,1
3455,31,16,2828,0,0
3755,55,13,1138,1,0
2655,30,13,938,1,1
3660,49,14,1163,0,0
3705,32,12,940,0,0
3405,43,13,2145,0,0
3630,25,16,875,0,0
4575,49,12,0,1,0
3548,32,12,113,0,0
3650,51,8,600,0,0
4113,43,8,1288,1,0
2381,33,12,2760,0,0
3703,30,12,2948,0,0
3525,32,12,1875,0,0
3795,36,9,1555,1,0
3203,34,11,2463,1,0
3967,37,6,1751,0,0
4313,34,16,2758,1,1
3308,27,12,1613,1,0
3543,35,8,1088,0,0
2799,23,16,2700,1,0
2911,52,12,2100,0,0
3090,45,17,1543,1,0
2560,56,12,3018,1,0
3870,46,11,2253,1,0
3641,24,13,2686,0,0
3773,33,17,353,0,0
3310,49,12,2826,1,0
3115,35,17,2892,1,0
3475,47,12,2313,0,0
