"sleep","age","educ","totwrk","male","yngkid"
3130,35,12,3135,0,0
2848,24,16,638,0,0
3188,44,12,2353,0,0
4091,24,13,75,0,0
3600,42,12,2163,1,0
2670,44,17,2815,1,0
3285,31,17,1325,0,0
3555,26,6,1816,0,1
3430,46,8,1150,1,0
2806,31,12,2476,1,1
2930,34,17,1950,0,0
3303,56,12,2226,1,0
3023,29,16,2418,1,1
3345,38,16,3048,1,0
2940,35,12,2475,1,0
2881,31,8,2866,1,1
3803,43,5,2446,1,0
3780,32,12,1050,0,0
3188,45,12,1175,0,0
3338,29,12,2313,1,0
3505,29,13,1993,0,0
3233,44,7,2288,1,0
2928,28,17,2606,1,0
2740,54,12,2375,1,0
3263,25,12,2250,1,1
2873,53,12,3588,1,0
3248,25,9,3190,1,0
2961,24,12,1675,1,0
3176,39,12,2225,1,0
3008,48,5,2693,1,0
2668,25,12,2400,1,1
3285,24,13,2451,1,0
3698,33,17,2518,1,1
3103,51,12,825,0,0
3367,26,12,2250,0,0
3326,46,17,2468,1,0
3363,43,12,1673,1,0
3880,40,12,2830,1,1
3060,36,8,750,0,0
3375,40,12,2905,1,0
2965,31,12,2551,1,0
3295,35,12,3171,1,0
3018,40,16,2388,1,0
3438,28,14,2206,1,0
3213,28,12,2288,1,0
3870,46,11,2253,1,0
2770,53,11,2300,0,0
3855,46,7,2463,1,0
4050,24,13,0,0,0
2623,32,12,1920,0,0
2765,44,17,2511,0,0
2661,40,14,2485,1,0
3550,24,16,2455,1,0
3818,57,4,360,0,0
3216,31,14,2263,1,0
3248,33,12,2526,1,0
3540,35,12,3692,1,0
2533,42,12,1565,0,0
3195,23,14,2195,1,0
3650,51,8,600,0,0
2955,31,16,3116,1,1
3221,26,12,1150,0,0
3420,39,11,2205,1,0
2733,47,6,3226,0,0
3315,29,10,1525,1,0
3023,36,16,2281,0,0
3178,26,12,2656,1,0
3536,29,12,2375,0,0
3060,23,12,2375,1,1
3286,47,12,2275,0,0
3333,46,8,2560,1,0
4350,60,12,480,1,0
2448,47,17,2488,1,0
3630,27,12,1213,0,1
3293,58,12,2058,1,0
3641,24,13,2686,0,0
3201,54,14,2298,1,0
2760,46,17,3473,1,0
3330,61,12,2866,1,0
3466,39,16,1050,0,0
3825,65,7,2143,1,0
3888,26,12,3446,1,0
3515,28,17,3556,1,0
3165,50,17,2163,1,0
3203,44,12,2001,1,0
2678,25,15,800,0,1
2798,33,17,2366,1,0
3095,51,12,3105,0,0
3063,47,12,2388,1,0
3548,45,12,2178,0,0
3211,45,17,1275,1,0
3525,32,16,2348,1,1
3458,48,12,1538,0,0
2698,33,12,1553,0,0
3335,54,12,2438,1,0
3565,44,8,2150,0,0
3196,33,10,2293,0,0
4695,52,12,1533,0,0
3060,50,12,2603,1,0
3150,32,12,2965,1,0
1485,28,12,2075,1,1
3840,47,12,1538,1,0
3363,37,12,2743,1,0
3270,43,12,0,0,0
4110,34,12,2505,0,0
3360,50,10,3075,1,0
3130,27,14,2450,0,0
3808,24,17,1175,0,0
2885,58,10,2625,1,0
2838,48,12,2338,1,0
2536,59,9,2326,0,0
4266,56,5,2880,1,0
3598,56,14,2376,1,0
3418,64,17,1126,0,0
2053,32,12,2276,1,1
2940,41,17,1725,0,0
3295,50,8,2805,0,0
2770,39,12,4000,1,0
3480,27,12,1213,0,0
3630,25,16,875,0,0
3315,35,12,2948,1,0
2701,39,16,3695,1,0
3175,42,13,3481,1,0
4545,40,11,835,1,0
3098,27,12,3480,1,0
3115,36,16,1860,0,0
3570,52,7,2350,1,0
3370,56,12,2611,1,0
3428,49,15,1175,0,0
2618,32,16,2763,1,0
2716,24,16,3588,1,0
2746,33,12,2740,1,0
4151,29,10,3570,1,0
3280,36,16,1905,0,0
3733,28,16,2288,1,1
2115,27,12,2050,0,0
3293,29,13,1125,0,0
3388,36,17,1913,1,0
3475,47,12,2313,0,0
2250,36,12,1200,0,0
3610,27,14,2466,1,1
3278,52,10,2140,0,0
3015,29,12,2640,1,0
3433,35,12,3025,1,0
3455,31,16,2828,0,0
2603,36,12,2638,1,1
3404,52,14,3748,1,0
3355,26,16,3151,1,1
4068,28,16,2568,0,0
3138,47,12,2351,1,0
2580,26,9,2575,1,0
2821,23,9,3825,1,0
3376,56,13,375,0,0
3088,60,10,2747,0,0
2630,50,13,2925,0,0
2311,36,12,3996,1,0
3045,37,12,2049,1,0
2870,25,13,1830,0,0
2663,47,9,0,0,0
3660,49,14,1163,0,0
3410,42,12,0,0,0
2868,52,8,1733,0,0
2930,30,17,2100,1,0
2985,31,15,0,0,0
4215,51,8,2525,0,0
3595,60,12,2478,1,0
3140,43,9,2666,1,0
2943,54,14,2575,0,0
3775,26,13,2711,1,1
2880,40,13,3276,1,0
3480,28,12,1113,0,0
3608,32,12,2100,0,0
3860,37,14,0,1,0
3638,27,11,1375,0,0
3990,56,7,1725,0,0
3310,49,12,2826,1,0
3028,44,16,2513,1,0
3740,28,12,515,0,1
3213,48,8,3273,0,0
4313,34,16,2758,1,1
3288,64,10,1605,1,0
2915,47,16,2638,1,0
3503,35,12,1588,1,0
3020,54,13,2275,0,0
3953,57,14,2351,0,0
2708,55,17,2501,1,0
3428,45,9,3150,1,0
3700,26,12,388,0,0
2755,29,11,2705,1,0
3548,32,12,113,0,0
3320,44,12,2085,1,0
3458,40,12,613,0,0
3248,27,15,2238,1,1
3165,28,10,2765,1,1
3158,31,12,2325,0,0
3318,51,14,0,0,0
4140,45,8,0,1,0
3103,35,12,1350,0,0
2780,33,16,1950,1,0
3115,35,17,2892,1,0
